name,period,year_created,seating_capacity,elevation,longitude,latitude
http://purl.org/id/gennesAmphitheatre,,,,,-2.386057E-1,4.73352194E1
http://purl.org/id/cyreneAmphitheater,,,,550,2.1850808E1,3.2824526E1
http://purl.org/id/paphosAmphitheater,,,,6,3.2405344E1,3.4754942E1
http://purl.org/id/ulpiaTraianaSarmizegetusaAmphitheatre,,,,,2.27853206E1,4.55166773E1
http://purl.org/id/gortynAmphitheater,,150,,150,2.4953076E1,3.5056454E1
http://purl.org/id/thevesteAmphitheater,,120,14200,877,8.123809E0,3.5401171E1
http://purl.org/id/civitasCamunnorumAmphitheatre,,,,,1.0280644E1,4.59438129E1
http://purl.org/id/durresAmphitheatre,,100,20000,15,1.9445131E1,4.1312241E1
http://purl.org/id/charterhouseAmphitheatre,,,,296,-2.720301E0,5.1305437E1
http://purl.org/id/londiniumAugustaAmphitheatre,,,,,-9.245E-2,5.15156317E1
http://purl.org/id/sabrathaAmphitheater,,125,20700,11,1.249404E1,3.2803879E1
http://purl.org/id/thysdrusSmallAmphitheater,,125,9000,116,1.0707911E1,3.5290106E1
http://purl.org/id/tiburAmphitheater,,,,248,1.2798114E1,4.1960571E1
http://purl.org/id/segobrigaAmphitheater,,90,7500,817,-2.813944E0,3.9886018E1
http://purl.org/id/casinumAmphitheater,,,,73,1.3823575E1,4.1482933E1
http://purl.org/id/miciaAmphitheater,,,1500,183,2.281731E1,4.5915008E1
http://purl.org/id/carsulaeAmphitheatre,,,,,1.2559679E1,4.26394249E1
http://purl.org/id/conimbrigaAmphitheater,,50,4000,100,-8.49333E0,4.0099444E1
http://purl.org/id/lucaAmphitheater,,,,,1.05057722E1,4.38455203E1
http://purl.org/id/caesareaAmphitheater,,150,,11,3.4897451E1,3.2506473E1
http://purl.org/id/leptiminusAmphitheater,,,,9,1.0866282E1,3.5678077E1
http://purl.org/id/luceriaNoukeriaAmphitheatre,,,,196,1.5344984E1,4.1508249E1
http://purl.org/id/colAugustaRauricaAmphitheatre,,200,6000,285,7.72061E0,4.7529294E1
http://purl.org/id/nimesAmphitheater,,90,24000,50,4.359599E0,4.3834876E1
http://purl.org/id/carmonaAmphitheater,,-50,8000,223,-5.650907E0,3.7469674E1
http://purl.org/id/tomen-y-murAmphitheater,,,,295,-3.9235E0,5.2931893E1
http://purl.org/id/scylletiumScolaciumAmphitheatre,,,,,1.65923292E1,3.88068878E1
http://purl.org/id/trierAmphitheater,,100,20000,168,6.649088E0,4.9748052E1
http://purl.org/id/viminaciumAmphitheater,,,,72,2.1220083E1,4.4737985E1
http://purl.org/id/tarragonaAmphitheater,,100,15000,13,1.25878E0,4.1114522E1
http://purl.org/id/newsteadAmphitheater,,80,2000,83,-2.6919E0,5.56026E1
http://purl.org/id/antiochAmphitheater,,-50,,89,3.6160437E1,3.6202624E1
http://purl.org/id/castraAlbanaAmphitheater,Septimius Severus,212,20000,454,1.266501E1,4.1732637E1
http://purl.org/id/carmarthenAmphitheater,,,,29,-4.296651E0,5.1862005E1
http://purl.org/id/gemellaeAmphitheater,,130,3000,83,5.522904E0,3.4636598E1
http://purl.org/id/thysdrusAmphitheater,Gordion III,238,35000,111,1.0706939E1,3.529639E1
http://purl.org/id/cagliariAmphitheater,,,,60,9.113227999999999E0,3.9223908E1
http://purl.org/id/porolissumAmphitheater,,157,,441,2.3154052E1,4.7177552E1
http://purl.org/id/carthagoNovaAmphitheatre,,,,23,-9.801609999999999E-1,3.76006455E1
http://purl.org/id/vindonissaAmphitheater,,50,11000,361,8.213604999999999E0,4.747629E1
http://purl.org/id/pozzuoliFlavianAmphitheater,Vespasian,70,20000,41,1.4125315E1,4.0825929E1
http://purl.org/id/empuriesAmphitheater,,50,3300,27,3.117431E0,4.2130042E1
http://purl.org/id/caerleonAmphitheater,,,,13,-2.956878E0,5.1608059E1
http://purl.org/id/arlesAmphitheater,,90,20000,21,4.631111E0,4.3677778E1
http://purl.org/id/mactarisAmphitheatre,,,,,9.2066727E0,3.58556279E1
http://purl.org/id/ludusMagnusArena,,81,500,22,1.2494913E1,4.188995E1
http://purl.org/id/lunaAmphitheater,,,,4,1.0022386E1,4.4062656E1
http://purl.org/id/eleutheropolisAmphitheater,,,,,3.48939E1,3.16082E1
http://purl.org/id/veronaAmphitheatre,,30,30000,62,1.099435E1,4.543904E1
http://purl.org/id/pompeiiAmphitheater,Republican,-70,22000,21,1.4495262E1,4.0751213E1
http://purl.org/id/thaenaeAmphitheater,,125,8700,7,1.0673126E1,3.4655481E1
http://purl.org/id/uthinaAmphitheatre,,120,16000,112,1.0169215E1,3.6608597E1
http://purl.org/id/lucusFeroniaeAmphitheatre,,,,,1.2594868E1,4.2129831E1
http://purl.org/id/lutetiaAmphitheater,,,,46,2.352855E0,4.8845097E1
http://purl.org/id/cumaeAmphitheater,,-100,,19,1.4056E1,4.0841847E1
http://purl.org/id/vesunnaAmphitheatre,,,,,7.133087E-1,4.51831921E1
http://purl.org/id/cyzicusAmphitheater,,,,,2.789E1,4.038E1
http://purl.org/id/isuriumAmphitheatre,,,,,-1.3796296E0,5.40881157E1
http://purl.org/id/carnuntumLargeAmphitheater,,150,15000,164,1.6892619E1,4.8126824E1
http://purl.org/id/syracuseAmphitheater,,,,23,1.5278934E1,3.7074132E1
http://purl.org/id/cherchellAmphitheater,,,,29,2.198958E0,3.660878E1
http://purl.org/id/lixusAmphitheatre,,,,,-6.1084683E0,3.51999004E1
http://purl.org/id/devaAmphitheatre,,,,23,-2.886928E0,5.3189079E1
http://purl.org/id/cordubaColPatriciaAmphitheatre,,,,,-4.7888426E0,3.78841265E1
http://purl.org/id/mediolanumAmphitheatre,,,,,-6.433512E-1,4.57453926E1
http://purl.org/id/assisiAmphitheatre,,,,445,1.2620454E1,4.3071077E1
http://purl.org/id/arezzoAmphitheater,,80,8000,263,1.188037E1,4.3460491E1
http://purl.org/id/urbsSalviaAmphitheatre,,,,,1.33868508E1,4.3201027E1
http://purl.org/id/cemenelumAmphitheatre,,,,,7.2752435E0,4.37196728E1
http://purl.org/id/lambaesisAmphitheatre,,,,,6.259935E0,3.5489247E1
http://purl.org/id/virunumAmphitheatre,,,,,1.43669959E1,4.66978777E1
http://purl.org/id/sbeitlaAmphitheater,,160,6600,556,9.114582E0,3.5243617E1
http://purl.org/id/pulaAmphitheater,,1,26000,16,1.3850243E1,4.4873229E1
http://purl.org/id/romeAmphitheater,,80,50000,22,1.2492269E1,4.1890169E1
http://purl.org/id/leptisMagnaAmphitheater,Septimius Severus,56,16000,18,1.4309452E1,3.263234E1
http://purl.org/id/ocriculumAmphitheatre,,,,,1.24671905E1,4.24115648E1
http://purl.org/id/salamisAmphitheater,,,,6,3.3902435E1,3.5185517E1
http://purl.org/id/larinumAmphitheatre,,,,,1.49159226E1,4.18058428E1
http://purl.org/id/nijmegenAmphitheater,,,,46,5.878859E0,5.1838523E1
http://purl.org/id/hydataHypsitanaForumTraianiAmphitheatre,,,,,8.804418800000001E0,3.99931239E1
http://purl.org/id/carthageAmphitheater,,100,30000,14,1.0314924E1,3.6856078E1
http://purl.org/id/colForumIuliiAmphitheater,,,,,6.7283212E0,4.34347293E1
http://purl.org/id/aquincumMilitaryAmphitheater,,150,,101,1.9039066E1,4.7532947E1
http://purl.org/id/octodurusForumClaudiiVallensiumAmphitheater,,,,480,7.073493E0,4.6094356E1
http://purl.org/id/corinthAmphitheater,Julius Caesar,-44,,98,2.2892126E1,3.7909629E1
http://purl.org/id/paestumAmphitheater,,-75,4500,18,1.5006449E1,4.0422354E1
http://purl.org/id/aquincumCivilAmphitheater,,275,,105,1.9047985E1,4.7567577E1
http://purl.org/id/anazarbusAmphitheater,,,,50,3.5900509E1,3.7248241E1
http://purl.org/id/carnuntumPetronellAmphitheater,,100,12000,185,1.6850943E1,4.8110019E1
http://purl.org/id/kataneCatinaAmphitheater,,,16000,31,1.5085323E1,3.7507096E1
http://purl.org/id/susaAmphitheater,,-20,,546,7.04497E0,4.5133185E1
http://purl.org/id/bordeauxAmphitheater,,220,28700,17,-5.82476E-1,4.4847382E1
http://purl.org/id/lyonAmphitheater,Tiberius,19,20000,206,4.830556E0,4.5770556E1
http://purl.org/id/romeAmphitheatrumCastrense,Caracalla,218,7000,48,1.2515144E1,4.1887715E1
http://purl.org/id/ivreaAmphitheater,,,,240,7.887734E0,4.5467767E1
http://purl.org/id/flaviaSolvaAmphitheater,,,,266,1.55657773E1,4.67671535E1
http://purl.org/id/salonaAmphitheatre,,,,,1.6473893E1,4.35381718E1
http://purl.org/id/marcianopolisAmphitheater,,200,4000,120,2.7556674E1,4.3218689E1
http://purl.org/id/pergamumAmphitheater,,100,25000,100,2.7174177E1,3.9125751E1
http://purl.org/id/korinionCironiumAmphitheatre,,,,,-1.9714981E0,5.17105802E1
http://purl.org/id/caerwentAmphitheater,,,,25,-2.766307E0,5.1612173E1
http://purl.org/id/rusellaeAmphitheater,,,,165,1.1159132E1,4.2828405E1
