"id","title","label","latintoponym","pleiades","welchid","golvinid","buildingtype","chronogroup","secondcentury","capacity","modcountry","romanregion","arenamajor","arenaminor","extmajor","extminor","exteriorheight","longitude","latitude","elevation"
"duraEuroposAmphitheater","Amphitheater at Dura Europos","Dura","","https://pleiades.stoa.org/places/893989","","129","amphitheater","severan",False,1000.0,"Syria","syria",31.0,25.0,50.0,44.0,"",40.728926,34.749855,223
"arlesAmphitheater","Amphitheater at Arles","Arles","Arelate","https://pleiades.stoa.org/places/148217","","154","amphitheater","flavian",True,20000.0,"France","narbonensis",47.0,32.0,136.0,107.0,"",4.631111,43.677778,21
"lyonAmphitheater","Amphitheater at Lyon","Lyon","Lugdunum","https://pleiades.stoa.org/places/167717","","","amphitheater","second-century",True,20000.0,"France","lugdunensis",67.6,42.0,105.0,"","",4.830556,45.770556,206
"ludusMagnusArena","Ludus Magnus Arena","Ludus Magnus","","https://pleiades.stoa.org/places/423025","","","practice-arena","imperial",False,"","Italy","regio-i","","","","","",12.494913,41.88995,22
"romeFlavianAmphitheater","Flavian Amphitheater at Rome","Colosseum","","https://pleiades.stoa.org/places/423025","","152","amphitheater","flavian",True,50000.0,"Italy","regio-i",83.0,48.0,189.0,156.0,52.0,12.492269,41.890169,22
"romeAmphitheatrumCastrense","Amphitheatrum Castrense (Rome)","Amph. Castrense","","https://pleiades.stoa.org/places/423025","","189","amphitheater","severan",False,7000.0,"Italy","regio-i","","",88.0,75.8,"",12.515144,41.887715,48
"eleutheropolisAmphitheater","Amphitheater at Eleutheropolis","Eleutheropolis","","https://pleiades.stoa.org/places/687854","","","amphitheater","second-century",True,3500.0,"Israel","judaea",47.0,38.0,71.0,56.0,"",34.893845,31.608189,253
"pompeiiAmphitheater","Amphitheater at Pompeii","Pompeii","Pompeii","https://pleiades.stoa.org/places/433032","1","","amphitheater","republican",False,22000.0,"Italy","regio-i",66.0,35.0,135.0,104.0,"",14.495262,40.751213,21
"meridaAmphitheater","Amphitheater at Mérida","Mérida","Emerita Augusta","https://pleiades.stoa.org/places/256155","","77","amphitheater","julio-claudian",True,15000.0,"Spain","lusitania",64.0,41.0,126.0,102.0,"",-6.337952,38.916168,231
"newsteadAmphitheater","Amphitheater at Newstead","Newstead","Trimontium","https://pleiades.stoa.org/places/89304","","","amphitheater","flavian",True,1500.0,"United Kingdom","britannia",37.0,23.0,70.0,60.0,"",-2.6919,55.6026,83
"conimbrigaAmphitheater","Amphitheater at Conimbriga","Conimbriga","Conimbriga","https://pleiades.stoa.org/places/236443","","101","amphitheater","julio-claudian",True,4000.0,"Portugal","lusitania",54.0,40.0,94.0,80.0,"",-8.49333,40.099444,100
"cumaeAmphitheater","Amphitheater at Cumae","Cumae","Cumae","https://pleiades.stoa.org/places/432808","4","","amphitheater","republican",True,"","Italy","regio-i","","",114.0,84.0,"",14.056,40.841847,19
"pozzuoliFlavianAmphitheater","Flavian Amphitheater at Pozzuoli","Pozzuoli (Flavian)","Puteoli","https://pleiades.stoa.org/places/432815","","153","amphitheater","flavian",True,35700.0,"Italy","regio-i",74.8,42.0,149.0,116.0,"",14.125315,40.825929,41
"pozzuoliEarlyAmphitheater","Early Amphitheater at Pozzuoli","Pozzuoli (Early)","Puteoli","https://pleiades.stoa.org/places/432815","8","","amphitheater","republican",True,"","Italy","regio-i","","","","","",14.127615,40.826239,58
"syracuseAmphitheater","Amphitheater at Syracuse","Syracuse","Syracusae","https://pleiades.stoa.org/places/462503","","83","amphitheater","julio-claudian",True,28773.0,"Italy","sicilia",69.8,39.7,146.8,118.7,"",15.278934,37.074132,23
"carthageAmphitheater","Amphitheater at Carthage","Carthage","","https://pleiades.stoa.org/places/314921","","","amphitheater","second-century",True,30000.0,"Tunisia","proconsularis",64.0,36.0,120.0,93.0,"",10.314924,36.856078,14
"hadrianVillaAmphitheater","Amphitheater at Hadrian's Villa at Tivoli","Tivoli Villa","Villa Hadriani","https://pleiades.stoa.org/places/423127","","","amphitheater","hadrianic",True,"","Italy","regio-i","","","","","",12.778929,41.941708,99
"corinthAmphitheater","Amphitheater at Corinth","Corinth","","https://pleiades.stoa.org/places/570182","18","126","amphitheater","caesarean",True,14000.0,"Greece","achaea",58.0,30.0,98.0,70.0,"",22.892126,37.909629,98
"marcianopolisAmphitheater","Amphitheater at Marcianopolis (Devnya)","Marcianopolis","Marcianopolis","https://pleiades.stoa.org/places/216878","","127","amphitheater","severan",True,4000.0,"Bulgaria","thracia",50.0,40.0,70.0,60.0,"",27.556674,43.218689,120
"porolissumAmphitheater","Amphitheater at Porolissum","Porolissum","","https://pleiades.stoa.org/places/207361","","39","amphitheater","second-century",True,"","Romania","dacia",64.0,52.0,84.0,75.0,"",23.154052,47.177552,441
"nijmegenAmphitheater","Amphitheater at Nijmegen","Nijmegen","Ulpia Noviomagus","https://pleiades.stoa.org/places/98921","","","amphitheater","second-century",True,"","Netherlands","germania-superior","","","","","",5.878859,51.838523,46
"carnuntumMilitaryAmphitheater","Military Amphitheater at Carnuntum","Carnuntum (Mil.)","Carnuntum","https://pleiades.stoa.org/places/128376","","122","amphitheater","first-century",True,8000.0,"Austria","pannonia",71.0,43.0,99.5,81.5,"",16.892619,48.126824,164
"carnuntumLudus","Carnuntum (Ludus)","Carnuntum Ludus","Carnuntum","https://pleiades.stoa.org/places/128376","","","practice-arena","imperial",False,"","Austria","pannonia","","","","","",16.848689,48.109807,185
"carnuntumCivilianAmphitheater","Civilian Amphitheater at Carnuntum","Carnuntum (Civ.)","Carnuntum","https://pleiades.stoa.org/places/128376","","123","amphitheater","second-century",True,13000.0,"Austria","pannonia",66.0,50.0,129.0,113.0,"",16.850943,48.110019,185
"leptisMagnaAmphitheater","Amphitheater at Leptis Magna","Leptis Magna","","https://pleiades.stoa.org/places/344448","","174","amphitheater","neronian",True,16000.0,"Libya","proconsularis",57.0,47.0,121.0,111.0,"",14.309452,32.63234,18
"empuriesAmphitheater","Amphitheater at Empuries","Empuries","Emporiae","https://pleiades.stoa.org/places/246382","","93","amphitheater","first-century",True,3343.0,"Spain","tarraconensis",71.0,42.0,86.0,54.0,"",3.117431,42.130042,27
"tarragonaAmphitheater","Amphitheater at Tarragona","Tarragona","","https://pleiades.stoa.org/places/246349","","","amphitheater","second-century",True,15000.0,"Spain","tarraconensis",62.0,39.0,95.0,69.5,"",1.25878,41.114522,13
"cagliariAmphitheater","Amphitheater at Cagliari","Cagliari","Carales","https://pleiades.stoa.org/places/471899","","182","amphitheater","second-century",True,12283.0,"Italy","corsica-et-sardinia",46.8,33.2,92.8,79.2,"",9.113228,39.223908,60
"italicaAmphitheater","Amphitheater at Italica","Italica","","https://pleiades.stoa.org/places/256231","","","amphitheater","second-century",True,25000.0,"Spain","baetica",70.0,44.0,160.0,136.0,"",-6.046742,37.443893,17
"segobrigaAmphitheater","Amphitheater at Segobriga","Segobriga","Segobriga","https://pleiades.stoa.org/places/266036","","88","amphitheater","flavian",True,7500.0,"Spain","tarraconensis",47.0,31.0,75.0,64.0,"",-2.813944,39.886018,817
"catiniaAmphitheater","Amphitheater at Catinia","Catinia","Catina","https://pleiades.stoa.org/places/462270","","","amphitheater","imperial",True,16000.0,"Italy","sicilia",52.0,38.0,90.0,70.0,"",15.085323,37.507096,31
"paestumAmphitheater","Amphitheater at Paestum","Paestum","Paestum","https://pleiades.stoa.org/places/442733","10","","amphitheater","republican",True,4500.0,"Italy","regio-iii",56.0,35.0,79.0,59.0,"",15.006449,40.422354,18
"lunaAmphitheater","Amphitheater at Luna","Luna","Luna","https://pleiades.stoa.org/places/403235","","","amphitheater","imperial",True,"","Italy","regio-vii",52.0,34.5,87.0,71.0,"",10.022386,44.062656,4
"cassinoAmphitheater","Amphitheater at Cassino","Cassino","Casinum","https://pleiades.stoa.org/places/432764","","","amphitheater","imperial",True,"","Italy","regio-i",51.0,33.0,84.0,66.0,"",13.823575,41.482933,73
"viminaciumAmphitheater","Amphitheater at Viminacium","Viminacium","","https://pleiades.stoa.org/places/207549","","","amphitheater","second-century",True,12000.0,"Serbia","moesia-superior","","",85.0,"","",21.220083,44.737985,72
"flaviaSolvaAmphitheater","Amphitheater at Flavia Solva","Flavia Solva","","https://pleiades.stoa.org/places/197273","","","amphitheater","imperial",True,2729.0,"Austria","noricum",85.0,35.0,97.0,45.0,"",15.5657773,46.76715349,266
"roselleAmphitheater","Amphitheater at Roselle","Roselle","Rusellae","https://pleiades.stoa.org/places/413288","","","amphitheater","julio-claudian",True,2309.0,"Italy","regio-vii",30.0,20.0,48.0,37.0,"",11.159132,42.828405,165
"parisAmphitheater","Amphitheater at Paris","Paris","Lutetia Parisiorum","https://pleiades.stoa.org/places/109126","","","gallo-roman-amphitheater","flavian",True,15000.0,"France","lugdunensis","","","","","",2.352855,48.845097,46
"octodurusForumClaudiiVallensiumAmphitheater","Amphitheater at Octodurus/Forum Claudii Vallensium","Octodorus","","https://pleiades.stoa.org/places/167859","","","amphitheater","imperial",True,15550.0,"Switzerland","alpes-poeninae",74.0,62.0,118.0,106.0,"",7.073493,46.094356,480
"cyreneAmphitheater","Amphitheater at Cyrene","Cyrene","","https://pleiades.stoa.org/places/373778","","","amphitheater","imperial",True,"","Libya","crete-et-cyrenaica",32.7,28.8,"","","",21.850808,32.824526,550
"libarnaAmphitheater","Amphitheater at Libarna","Libarna","Libarna","https://pleiades.stoa.org/places/383694","","105","amphitheater","imperial",True,5380.0,"Italy","regio-ix",66.0,36.6,88.0,58.7,"",8.867967,44.706013,225
"luceraAmphitheater","Amphitheater at Lucera","Lucera","Luceria","https://pleiades.stoa.org/places/442640","","12","amphitheater","augustan",True,17149.0,"Italy","regio-ii",72.2,43.2,126.8,94.5,"",15.344984,41.508249,196
"avellaAmphitheater","Amphitheater at Abella","Abella","Abella","https://pleiades.stoa.org/places/432617","5","","amphitheater","republican",True,"","Italy","regio-i",62.5,35.0,108.0,70.0,"",14.608415,40.961526,224
"nimesAmphitheater","Amphitheater at Nimes","Nimes","Nemausus","https://pleiades.stoa.org/places/148142","","","amphitheater","flavian",True,24000.0,"France","narbonensis",69.1,38.4,133.4,101.4,"",4.359599,43.834876,50
